Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule_ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,e1,e1-quantised,a1r,a1r-quantised,c1,c1-quantised,n1,n1-quantised,o1,o1-quantised,e2r,e2r-quantised,a2,a2-quantised,c2r,c2r-quantised,n2r,n2r-quantised,o2,o2-quantised,e3,e3-quantised,a3r,a3r-quantised,c3,c3-quantised,n3,n3-quantised,o3,o3-quantised,e4,e4-quantised,a4,a4-quantised,c4r,c4r-quantised,n4,n4-quantised,o4,o4-quantised,e5r,e5r-quantised,a5,a5-quantised,c5r,c5r-quantised,n5r,n5r-quantised,o5,o5-quantised,e6,e6-quantised,a6r,a6r-quantised,c6,c6-quantised,n6,n6-quantised,o6,o6-quantised,e7r,e7r-quantised,a7,a7-quantised,c7,c7-quantised,n7r,n7r-quantised,o7r,o7r-quantised,e8,e8-quantised,a8r,a8r-quantised,c8,c8-quantised,n8,n8-quantised,o8,o8-quantised,o9r,o9r-quantised,a9,a9-quantised,c9r,c9r-quantised,o10,o10-quantised,END QUESTIONNAIRE
1,1.61E+12,09/12/2020 10:10,1.61E+12,1,09/12/2020 11:10,13764,3,questionnaire-7tij,,8452791,BLIND,2574230,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1292x762,,The Big Five Inventory (BFI) ,2,No,4,4,4,4,4,4,3,3,4,4,3,3,4,4,3,3,3,3,4,4,3,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,2,2,2,3,3,3,3,4,4,4,4,2,2,4,4,3,3,5,5,3,3,4,4,4,4,2,2,4,4,5,5,3,3,4,4,2,2,5,5,2,2,4,4,4,4,5,5,195122
1,1.61E+12,09/12/2020 10:10,1.61E+12,2,09/12/2020 12:10,13764,3,questionnaire-7tij,,8452798,BLIND,2574231,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 86.0.4240.198,1440x900,971x595,,The Big Five Inventory (BFI) ,2,No,3,3,4,4,4,4,4,4,5,5,3,3,5,5,2,2,1,1,5,5,3,3,1,1,5,5,4,4,5,5,4,4,5,5,1,1,5,5,5,5,3,3,4,4,2,2,1,1,5,5,3,3,3,3,3,3,4,4,5,5,1,1,5,5,5,5,3,3,4,4,4,4,1,1,5,5,5,5,4,4,5,5,4,4,1,1,3,3,139442
1,1.61E+12,09/12/2020 10:10,1.61E+12,0,09/12/2020 10:10,13764,3,questionnaire-7tij,,8452806,BLIND,2574233,,complete,,,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,1440x900,1440x821,,The Big Five Inventory (BFI) ,2,No,4,4,1,1,3,3,1,1,2,2,2,2,5,5,4,4,4,4,3,3,4,4,1,1,5,5,4,4,2,2,4,4,5,5,1,1,4,4,2,2,2,2,5,5,1,1,3,3,2,2,2,2,1,1,5,5,2,2,3,3,2,2,5,5,4,4,3,3,5,5,4,4,1,1,5,5,2,2,2,2,2,2,4,4,2,2,5,5,279641
1,1.61E+12,09/12/2020 10:12,1.61E+12,8,09/12/2020 18:12,13764,3,questionnaire-7tij,,8452847,BLIND,2574245,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 87.0.4280.67,1440x900,1440x821,,The Big Five Inventory (BFI) ,2,No,3,3,4,4,4,4,5,5,4,4,2,2,3,3,4,4,2,2,4,4,3,3,2,2,4,4,4,4,4,4,2,2,4,4,3,3,5,5,4,4,3,3,4,4,4,4,1,1,3,3,4,4,4,4,4,4,4,4,5,5,4,4,4,4,3,3,3,3,2,2,3,3,4,4,3,3,4,4,4,4,2,2,4,4,3,3,4,4,208954
1,1.58E+12,11/03/2020 10:22,1.58E+12,0,11/03/2020 10:22,13764,3,questionnaire-7tij,,4131549,BLIND,1170311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1280x720,1280x610,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,5,5,3,3,5,5,3,3,4,4,3,3,3,3,4,4,3,3,2,2,5,5,3,3,5,5,3,3,4,4,3,3,4,4,5,5,3,3,4,4,2,2,3,3,4,4,4,4,2,2,5,5,2,2,4,4,3,3,4,4,4,4,3,3,3,3,3,3,2,2,5,5,3,3,5,5,3,3,4,4,3,3,4,4,102444
1,1.58E+12,11/03/2020 10:20,1.58E+12,0,11/03/2020 10:20,13764,3,questionnaire-7tij,,4131531,BLIND,1170305,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1368x912,1368x770,,The Big Five Inventory (BFI) ,2,No,3,3,4,4,5,5,3,3,3,3,5,5,5,5,1,1,4,4,5,5,2,2,2,2,5,5,4,4,5,5,3,3,3,3,2,2,4,4,3,3,4,4,2,2,2,2,5,5,2,2,4,4,4,4,4,4,3,3,3,3,4,4,5,5,4,4,4,4,3,3,3,3,2,2,4,4,3,3,4,4,3,3,4,4,2,2,3,3,94132
1,1.58E+12,11/03/2020 10:18,1.58E+12,0,11/03/2020 10:18,13764,3,questionnaire-7tij,,4131524,BLIND,1170301,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1280x720,1280x610,,The Big Five Inventory (BFI) ,2,No,4,4,1,1,5,5,1,1,3,3,2,2,5,5,3,3,4,4,5,5,5,5,1,1,5,5,2,2,3,3,4,4,5,5,3,3,2,2,3,3,2,2,5,5,1,1,5,5,2,2,5,5,1,1,5,5,2,2,3,3,2,2,5,5,5,5,4,4,2,2,4,4,1,1,5,5,2,2,4,4,4,4,5,5,2,2,2,2,192930
1,1.58E+12,11/03/2020 10:13,1.58E+12,0,11/03/2020 10:13,13764,3,questionnaire-7tij,,4131484,BLIND,1170292,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1440x900,1025x789,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,5,5,1,1,4,4,3,3,4,4,4,4,4,4,5,5,5,5,4,4,5,5,3,3,5,5,5,5,2,2,1,1,2,2,2,2,1,1,2,2,1,1,3,3,4,4,5,5,4,4,5,5,2,2,2,2,2,2,3,3,5,5,4,4,1,1,4,4,3,3,4,4,3,3,4,4,4,4,4,4,1,1,2,2,110747
1,1.58E+12,11/03/2020 10:13,1.58E+12,0,11/03/2020 10:13,13764,3,questionnaire-7tij,,4131476,BLIND,1170289,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1440x900,758x734,,The Big Five Inventory (BFI) ,2,No,3,3,2,2,3,3,1,1,3,3,4,4,5,5,3,3,4,4,5,5,3,3,2,2,3,3,2,2,4,4,4,4,5,5,4,4,2,2,3,3,4,4,5,5,2,2,5,5,3,3,3,3,2,2,4,4,3,3,5,5,3,3,5,5,3,3,2,2,2,2,2,2,1,1,4,4,3,3,4,4,5,5,4,4,3,3,5,5,225116
1,1.58E+12,11/03/2020 10:12,1.58E+12,0,11/03/2020 10:12,13764,3,questionnaire-7tij,,4131474,BLIND,1170288,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1440x900,1440x837,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,4,4,3,3,4,4,3,3,4,4,4,4,2,2,4,4,2,2,3,3,4,4,3,3,3,3,3,3,2,2,4,4,5,5,4,4,2,2,4,4,4,4,2,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,3,3,2,2,2,2,3,3,4,4,3,3,4,4,4,4,3,3,4,4,3,3,4,4,153566
