ID,Structure,Control,Exhaustion,Disconnection,Age
195,5.375,1,1.4,1.5,Old
207,6.125,1,1.4,3.333333333,Old
17,3.833333333,4.5,1.2,2.083333333,Young
25,4.75,4.25,1.2,2.5,Young
28,6.125,4.25,1.2,1.75,Young
48,6,3.75,1.2,1,Young
55,5.25,3.5,1.2,3.666666667,Young
87,5.5,3,1.2,5,Young
109,5.5,2.5,1.2,3.083333333,Young
115,6.375,2.5,1.2,1.416666667,Young
125,5.875,2.25,1.2,2.75,Old
132,4.75,2,1.2,1.75,Old
137,5.5,2,1.2,3.333333333,Old
164,6.375,1.75,1.2,1.666666667,Old
165,5,1.666666667,1.2,1.75,Old
167,4.875,1.5,1.2,2,Old
171,5.285714286,1.5,1.2,1.5,Old
203,5.75,1,1.2,1.75,Old
8,5,5.25,1,3.083333333,Young
12,3.25,4.75,1,4.916666667,Young
13,4.125,4.75,1,4,Young
15,5.75,4.75,1,5.5,Young
18,3.875,4.5,1,1,Young
31,3.75,4,1,1.166666667,Young
35,4.375,4,1,4.166666667,Young
42,3.375,3.75,1,2.333333333,Young
45,4.625,3.75,1,1.861111111,Young
49,3.625,3.5,1,1.833333333,Young
59,3.25,3.25,1,4.194444444,Young
69,5.25,3.25,1,2.083333333,Young
71,5.75,3.25,1,1.694444444,Young
77,4.125,3,1,2.416666667,Young
85,5.25,3,1,3.666666667,Young
95,4.75,2.75,1,2.333333333,Young
110,5.75,2.5,1,1,Young
116,6.5,2.5,1,1.25,Young
119,5,2.25,1,1.083333333,Young
120,5.125,2.25,1,3.416666667,Old
129,6.142857143,2.25,1,1,Old
130,6.857142857,2.25,1,2.166666667,Old
131,4.142857143,2,1,1.666666667,Old
133,5.125,2,1,1,Old
144,6,2,1,1,Old
149,4.857142857,1.75,1,3.583333333,Old
166,5.25,1.666666667,1,3.166666667,Old
172,5.285714286,1.5,1,1.583333333,Old
173,5.375,1.5,1,1.5,Old
176,6.375,1.5,1,1.25,Old
177,6.625,1.5,1,1.666666667,Old
178,6.625,1.5,1,1.333333333,Old
185,6.375,1.25,1,1.916666667,Old
190,4.75,1,1,3.888888889,Old
196,5.375,1,1,1.25,Old
201,5.625,1,1,1,Old
204,5.75,1,1,2.25,Old
209,6.625,1,1,1,Old
210,6.625,1,1,1.5,Old
212,7,1,1,4.166666667,Old
213,7,1,1,1,Old
