ID,age,gender,gov_support,neg_emotion,egal,indv
267,23,1,7,4,5.2,4
268,23,1,5.666666667,7,5.766666667,1.25
269,23,1,7,6,6.8,1.166666667
272,23,1,4.666666667,5.333333333,5.5,2.25
273,23,1,3.888888889,7,6.6,2.25
274,23,1,7,7,6.8,1
275,23,1,7,7,6.433333333,2.5
276,23,1,5.666666667,7,6.8,1.833333333
277,23,1,4.777777778,5.333333333,4.966666667,2.333333333
279,23,1,1.888888889,3.333333333,3.422222222,3.083333333
280,23,1,6.555555556,5.333333333,5.5,5.833333333
281,23,1,6.777777778,1.666666667,3.733333333,4.75
282,23,1,4.666666667,6.333333333,6.066666667,2.666666667
284,23,1,3.777777778,5.666666667,5.8,3.5
285,23,1,5.666666667,6,6.233333333,3.083333333
286,23,1,6.111111111,5.333333333,6.6,3.25
290,23,1,5.111111111,7,6.5,1.916666667
291,22,1,4.777777778,6.666666667,5.544444444,2.333333333
292,22,1,5.111111111,5.666666667,5.266666667,2.583333333
293,22,1,7,6.333333333,5.166666667,3.666666667
294,22,1,4.666666667,5.333333333,5.766666667,2.666666667
295,22,1,3.777777778,5.666666667,5.566666667,2.5
302,23,1,3.333333333,5.666666667,6.033333333,4.166666667
303,23,1,3.888888889,5.666666667,4.5,2.416666667
304,22,1,3.777777778,3,3.6,1.75
305,23,1,4.222222222,6.333333333,6.366666667,2.416666667
306,23,1,3.666666667,4.333333333,5.8,2
307,22,1,4.777777778,4.666666667,5.633333333,1.833333333
308,23,1,4.666666667,5,5.766666667,4.166666667
309,23,1,5.888888889,6.333333333,6.533333333,1.75
310,23,1,5.111111111,6,6.466666667,1.416666667
312,23,1,4.666666667,4.333333333,5.083333333,2.166666667
315,23,1,6,5.666666667,5.933333333,2.416666667
316,23,2,4.555555556,5.666666667,6.111111111,2.666666667
